Election,County,Rwinner,Rmargin,Rparty,RTotalVotes,Rabsentee,RPctAbsentee,Nwinner,Nparty,Nmargin,NTotalVotes,Nabsentee,NPctAbsentee,RPctVotesWinner,RPctVotesLoser,RNoVotesWinner,RNoVotesLoser,NPctVotesWinner,NPctVotesLoser,NNoVotesWinner,NNoVotesLoser,NoTurnoutChange,TurnoutPctChange,MarginChange,WinnerNoChange,WinnerPctChange
SPECIAL,Towns,Loeffler ,61,R,"7,234","5,694",0.79,Collins ,R,61,"7,847","6,737",0.86,80.5,19.5,"5,823","1,411",80.5,19.5,"6,317","1,530",-613,-0.08,0,-494,-0.08
SPECIAL,Treutlen,Loeffler ,37,R,"2,713","1,929",0.71,Loeffler ,R,38.3,"2,965","2,434",0.82,68.5,31.5,"1,858",855,69.15,30.85,"2,050",915,-252,-0.08,-1.3,-192,-0.09
SPECIAL,Troup,Loeffler ,19,R,"26,306","17,403",0.66,Loeffler ,R,22.1,"29,538","22,009",0.75,59.5,40.5,"15,652","10,654",61.05,38.95,"18,033","11,505","-3,232",-0.11,-3.1,-2381,-0.13
SPECIAL,Turner,Loeffler ,23,R,"3,412","2,489",0.73,Loeffler ,R,25.5,"3,717","3,016",0.81,61.5,38.5,"2,098","1,314",62.75,37.25,"2,332","1,385",-305,-0.08,-2.5,-234,-0.10
SPECIAL,Twiggs,Loeffler ,4,R,"3,938","2,440",0.62,Warnock ,D,7.4,"4,344","3,083",0.71,52,48,"2,048","1,890",53.7,46.3,"2,333","2,011",-406,-0.09,-3.4,-285,-0.12
SPECIAL,Union,Loeffler ,64,R,"14,174","9,858",0.7,Collins ,R,64,"15,362","11,675",0.76,82,18,"11,623","2,551",82,18,"12,597","2,765","-1,188",-0.08,0,-974,-0.08
SPECIAL,Upson,Loeffler ,31,R,"11,184","7,938",0.71,Loeffler ,R,33.2,"12,723","10,714",0.84,65.5,34.5,"7,326","3,858",66.6,33.4,"8,474","4,249","-1,539",-0.12,-2.2,-1148,-0.14
SPECIAL,Walker,Loeffler ,60,R,"24,145","14,851",0.62,Loeffler ,R,60.9,"28,536","22,256",0.78,80,20,"19,316","4,829",80.45,19.55,"22,957","5,579","-4,391",-0.15,-0.9,-3641,-0.16
SPECIAL,Walton,Loeffler ,48,R,"45,486","30,070",0.66,Loeffler ,R,49.2,"50,408","38,995",0.77,74,26,"33,660","11,826",74.6,25.4,"37,604","12,804","-4,922",-0.1,-1.2,-3944,-0.10
SPECIAL,Ware,Loeffler ,39,R,"12,209","7,680",0.63,Collins ,R,40.6,"13,748","10,761",0.78,69.5,30.5,"8,485","3,724",70.3,29.7,"9,665","4,083","-1,539",-0.11,-1.6,-1180,-0.12
